Name,Price,Link,Image,Category,Source,Rating,Reviews
Abominable Hoodie,69.0,https://www.scrapingcourse.com/ecommerce/product/abominable-hoodie/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh09-blue_main.jpg,Outerwear,BeautifulSoup,,0
Adrienne Trek Jacket,57.0,https://www.scrapingcourse.com/ecommerce/product/adrienne-trek-jacket/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj08-gray_main.jpg,Outerwear,BeautifulSoup,,0
Ajax Full-Zip Sweatshirt,69.0,https://www.scrapingcourse.com/ecommerce/product/ajax-full-zip-sweatshirt/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh12-green_main.jpg,Tops,BeautifulSoup,,0
Ariel Roll Sleeve Sweatshirt,39.0,https://www.scrapingcourse.com/ecommerce/product/ariel-roll-sleeve-sweatshirt/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh09-purple_main.jpg,Tops,BeautifulSoup,,0
Augusta Pullover Jacket,57.0,https://www.scrapingcourse.com/ecommerce/product/augusta-pullover-jacket/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj03-red_main.jpg,Outerwear,BeautifulSoup,,0
Bruno Compete Hoodie,63.0,https://www.scrapingcourse.com/ecommerce/product/bruno-compete-hoodie/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh03-black_main.jpg,Outerwear,BeautifulSoup,,0
Cassia Funnel Sweatshirt,48.0,https://www.scrapingcourse.com/ecommerce/product/cassia-funnel-sweatshirt/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh08-white_main.jpg,Tops,BeautifulSoup,,0
Chaz Kangeroo Hoodie,52.0,https://www.scrapingcourse.com/ecommerce/product/chaz-kangeroo-hoodie/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh01-gray_main.jpg,Outerwear,BeautifulSoup,,0
Crown Summit Backpack,38.0,https://www.scrapingcourse.com/ecommerce/product/crown-summit-backpack/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mb03-black-0.jpg,Bags,BeautifulSoup,,0
Daphne Full-Zip Hoodie,59.0,https://www.scrapingcourse.com/ecommerce/product/daphne-full-zip-hoodie/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh06-purple_main.jpg,Outerwear,BeautifulSoup,,0
